Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,127050,126767,597237,411683,4.7,138
2,United States,96661,94747,792274,265436,8.2,230
3,Japan,30504,30287,223024,61554,7.31,134
4,United Kingdom,20944,20357,206091,37874,9.84,139
5,Russian Federation,18534,18301,34266,12422,1.85,57
6,Canada,17899,17620,215003,40930,12.01,149
7,Germany,17027,16831,140566,27426,8.26,126
8,India,15005,14841,128763,37209,8.58,115
9,France,13153,12973,130632,28601,9.93,114
10,South Korea,11983,11923,114675,22595,9.57,104
11,Italy,10964,10794,111850,26661,10.2,106
12,Spain,9428,9330,123336,23964,13.08,115
13,Iran,8896,8819,57470,19125,6.46,72
14,Australia,8831,8725,90765,15606,10.28,107
15,Brazil,8668,8596,60702,14396,7,86
