Country,Energy Supply,Energy Supply per capital,Renewable Electricity Production,World Development Indicators,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
China,,,,CHN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,126250820600.667,91784346592.5083,86644423183.5061,95482154331.1521,112955388572.683,132157804632.937,146298689744.596,137959664428.352,132303318179.613,154662578957.74,184667119263.818,197593817614.514,205102382694.474,221305470923.259,226395496757.57,246091904967.344,242154434493.928,260558171504.68,291517448963.74,313672775075.891,338160240791.698,355651287718.824,387718207118.654,429405202313.916,494705110881.972,561754124136.054,611895125358.352,683608417797.46,760860541786.891,792927461164.434,824119828198.963,900497399823.094,1029056594825.51,1172483179703.72,1325821357847.33,1471580082329.2,1617630324258.74,1766887258134.95,1905649563828.14,2050825253414.67,2223695100641.38,2408225645841.8,2627155250001.14,2890395506407.06,3181621437923.13,3542811557169.99,3992331462570.89,4559041383517.93,4997775145605.96,5459247267275.14,6039658508485.59,6612490294273.65,7124977970399.61,7672447738017.42,8230120617793.52,8797998940421.28,1,127050,126767,597237,411683,4.7,138
United States,,,,USA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,3078071080474.67,3148866715325.58,3340947584960.44,3487949278698.7,3690250336863.23,3926426358422.47,4181644071719.94,4286185173512.94,4491922061841.55,4631171645758.64,4779684394200.0,4937197781100.0,5197055474100.0,5490331802900.0,5461938301500.0,5451141221800.0,5744744596800.0,6009496747300.0,6343726022200.0,6545183142700.0,6529173871800.0,6698571354500.0,6570568952800.0,6874947746100.0,7374006181400.0,7686570948200.0,7956493688100.0,8231927424700.0,8577995347000.0,8893710527300.0,9064413765500.0,9057698437100.0,9379735498400.0,9637289595800.0,10026408985500.0,10299024618300.0,10689963360600.0,11169624848700.0,11666663209400.0,12213269668400.0,12713058213400.0,12837135352100.0,13066422980900.0,13433168199500.0,13941713404100.0,14408093840400.0,14792303791800.0,15055395304800.0,15011490541400.0,14594842181900.0,14964372000000.0,15204019634600.0,15542161722300.0,15773666098800.0,16156618476000.0,16548573278300.0,2,96661,94747,792274,265436,8.2,230
Japan,,,,JPN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,774159972858.774,867396211046.274,944672305253.076,1024720458089.52,1144374075809.42,1210973303995.66,1339803444406.28,1488282368986.52,1680009870979.5,1889639730513.47,1870367052265.95,1958255451211.5,2123014198977.22,2293547436986.14,2265445980325.79,2335483962647.49,2428319078611.39,2534930492672.01,2668570545386.81,2814916070423.87,2894228898124.74,3015116322930.42,3116924990839.59,3212325899577.24,3355720883795.72,3568250663556.24,3669270574579.15,3819983187203.45,4092985685263.94,4312785259141.33,4553110831582.17,4704471751479.55,4743002779824.31,4751116289371.49,4792145895983.02,4885225826582.17,5012732889383.56,5092717488423.89,4990702828371.87,4980754495157.78,5093194793899.29,5111299151453.81,5126098838967.69,5212479331371.99,5335531900605.95,5405039376321.92,5496541517363.31,5617035943770.73,5558526873313.82,5251308399909.32,5498717815809.77,5473738114222.05,5569101602926.18,5644658523313.42,5642884448582.19,5669563143140.97,3,30504,30287,223024,61554,7.31,134
United Kingdom,,,,GBR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,726715409353.716,745417938846.318,755317038225.689,785199201831.357,824759755405.205,847762113872.872,865135397631.448,885128374743.257,920398421393.316,939289098765.891,981577791563.659,1015753076174.29,1058690719715.7,1127928842552.53,1099494362484.55,1082456607849.2,1115236527039.55,1144199667490.73,1191454455500.62,1235254336526.58,1208457958899.88,1198224286155.75,1223092170426.45,1274483911773.79,1303292177070.46,1356899824320.15,1399891078491.96,1477726260815.82,1565208377317.68,1604637503244.75,1613520486093.94,1593237799443.76,1600350142459.83,1642519366965.39,1708613822311.5,1751700384270.7,1798432468634.12,1854165181551.3,1916770478677.38,1976434637360.94,2051516318448.7,2108097866192.83,2160672019622.99,2232766397404.2,2288327854140.91,2356894354913.47,2419630700401.73,2482203235475.9,2470614405284.3,2367047611711.99,2403504326328.8,2450911011124.85,2479808627472.19,2533370110012.36,2605643189894.93,2666333396477.13,4,20944,20357,206091,37874,9.84,139
Russian Federation, 30 709,  214,17.29,RUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457619194625.21,1413890682306.06,1342532475661.74,1147448091186.3,1047981090504.72,916252424715.692,878287245229.369,846668904398.871,858522269055.038,813020588805.581,865053906489.242,951559297131.651,1000012546492.82,1047449840625.46,1123870255189.03,1204518613688.2,1281320973272.51,1385792607182.58,1504071117741.3,1583004071092.11,1459199142720.26,1524917468442.01,1589942641764.29,1645875899596.27,1666934123163.16,1678708855070.86,1616148858033.77,5,18534,18301,34266,12422,1.85,57
Canada, 10 431,  296,61.95,CAN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,316336974286.222,326343635486.327,349568791675.111,367682663713.225,392315404495.684,418351593401.891,445899901109.16,458899267123.04,483199552126.43,508615852559.246,525174419530.189,546799304018.638,576577204426.325,616731210929.917,639494683750.729,651152500000.0,685007887788.779,708697040186.372,736716024461.27,764747501067.754,781286059697.147,808655444282.664,782762096097.846,803102738206.174,850689388856.533,890961729275.87,910222678509.028,947509627548.05,989478628227.529,1012473853523.59,1014036566783.15,992481270238.789,1001244641914.19,1027830048922.54,1074015331294.89,1102774330421.28,1120540554552.51,1168497588526.5,1213855850514.46,1276529788099.4,1342688373422.64,1366464955445.54,1407595773442.05,1432964496408.46,1477185224907.79,1524475568821.59,1564468853329.45,1596739898466.32,1612713061250.24,1565144676082.31,1613406134731.12,1664086754804.89,1693132927878.08,1730687770724.13,1773485821199.77,1792608764608.81,6,17899,17620,215003,40930,12.01,149
Germany, 13 261,  165,17.9,DEU,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1534144071523.18,1582204199072.85,1650244379602.65,1729084588874.17,1744474629668.87,1729354589536.42,1814944816688.74,1875694977880.8,1932125127682.12,2012315340529.8,2040665415761.59,2051465444370.86,2043365422913.91,2075495508211.92,2134085663708.61,2183765795496.69,2233715928079.47,2265036011125.83,2349006234039.74,2440536476953.64,2568786817350.99,2700007165562.91,2751950092715.23,2725636900662.25,2792615933774.83,2841141562913.91,2864379192052.98,2917347311258.28,2975099655629.14,3034218900662.25,3124093841059.6,3177061960264.9,3177061960264.9,3154507801324.5,3191414609271.52,3213968781456.95,3332890754966.89,3441560834437.09,3478809377483.44,3283339933774.83,3417298013245.03,3542371125827.81,3556723774834.44,3567317390728.48,3624386278145.7,3685555907284.77,7,17027,16831,140566,27426,8.26,126
India, 33 195,  26,14.97,IND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,142574928610.0,147882626117.08,152217254789.058,161341694767.343,173366410805.097,168796870765.197,168703477532.633,181906149319.231,188069000822.198,200368149829.309,210701595633.017,214163276165.591,212978307947.393,219997053101.027,222604757943.431,242972897434.093,247013788528.845,264934057379.626,280068500423.3,265398000678.424,283274736343.697,300288793820.099,310726031244.58,333374518880.449,346111885322.433,364297639428.366,381698549946.995,396834254902.771,435040595513.124,460913953347.585,486418417531.595,491559040260.466,518508253530.734,543141420335.337,579308795091.949,623188492510.657,670236246400.872,697379613646.005,740508468803.062,806012037863.705,836970888960.893,877346082285.568,910720110737.538,982306185613.413,1060133682046.38,1158565308177.29,1265894322131.09,1374865195244.5,1428360609657.8,1549482541544.7,1708458876829.92,1821872415623.62,1924235460945.25,2051981849791.69,2200616575310.97,2367206118959.06,8,15005,14841,128763,37209,8.58,115
France,,,,FRA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,608212496021.392,641702333048.921,684517833291.215,721120191305.993,768125244944.552,804826539351.239,846790259917.14,886489132179.866,924244923191.558,988854546755.554,1045487417218.54,1101376158940.4,1151396026490.07,1224054304635.76,1276582781456.95,1264070198675.5,1318605298013.24,1364115231788.08,1418390728476.82,1468872847682.12,1492201324503.31,1508283443708.61,1546119205298.01,1565543046357.61,1589409271523.18,1615209271523.18,1653186754966.89,1695794701986.75,1776072847682.12,1853389403973.51,1907397350993.38,1927217218543.05,1958046357615.89,1946050331125.83,1991692715231.79,2033221192052.98,2061442384105.96,2109625165562.91,2184647682119.2,2259080794701.99,2346623841059.6,2392487417218.54,2419246357615.89,2439072847682.12,2507035761589.4,2547341721854.3,2607839735099.34,2669423841059.6,2674637086092.71,2595966887417.22,2646994701986.75,2702031788079.47,2706968211920.53,2722566887417.22,2729631788079.47,2761185430463.58,9,13153,12973,130632,28601,9.93,114
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11983,11923,114675,22595,9.57,104
